Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Chromatine array,Count A,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,0,113,83,30,85,,4,0.0,1.0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,0,129,90,39,69,,4,0.0,0.0,"['A' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'U' 'U' 'U' 'M' 'A' 'A'
 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'U' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A'
 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A'
 'U' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U'
 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
201,0,134,91,43,64,,3,0.0,1.0,"['A' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'M' 'U' 'U' 'A' 'U' 'U' 'U'
 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'M' 'U' 'A'
 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A'
 'U' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A'
 'A' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'M' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'M' 'A' 'A'
 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'A']"
301,0,148,100,48,50,,4,0.0,0.0,"['A' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'U' 'A' 'U' 'U'
 'A' 'M' 'A' 'U' 'U' 'A' 'U' 'A' 'M' 'A' 'A' 'M' 'A' 'U' 'A' 'M' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A'
 'U' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U'
 'A' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'M' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'M' 'U' 'A'
 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'A']"
401,0,146,103,43,52,,5,1.0,0.0,"['A' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'U'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'U'
 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A'
 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'M' 'A'
 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'M' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A']"
501,0,148,103,45,50,,5,0.0,1.0,"['A' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'M'
 'A' 'U' 'U' 'M' 'A' 'A' 'M' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U'
 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A'
 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'M' 'A'
 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A']"
601,0,151,105,46,47,,6,0.0,0.0,"['A' 'M' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'M'
 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'U' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A'
 'U' 'M' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'M' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'A'
 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A']"
701,0,157,106,51,41,,5,1.0,0.0,"['A' 'M' 'M' 'A' 'M' 'A' 'U' 'A' 'M' 'U' 'M' 'U' 'U' 'A' 'U' 'A' 'A' 'M'
 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A'
 'M' 'M' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A'
 'A' 'M' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A'
 'M' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'A']"
801,0,151,103,48,47,,5,1.0,0.0,"['A' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'U' 'M' 'U' 'M' 'A' 'A' 'U'
 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U'
 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'U' 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U'
 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A'
 'M' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'M' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A'
 'M' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'M' 'A'
 'U' 'U' 'A' 'A' 'A' 'M' 'U' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'A']"
901,0,149,102,47,49,,6,0.0,0.0,"['A' 'M' 'M' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U'
 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U'
 'M' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M'
 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A'
 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'U' 'M' 'M' 'A'
 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'U']"
